,user,location,text
65,lilfidget,Seattle → Los Angeles,"#GameDevPaidMe 

About Me: Hispanic, Cis Woman, Pansexual

ExatoGames: $24 per hr about 50k annually

Riot Games: $32.92/hr roughly 64k annually https://t.co/kv743jmbJy"
66,StygianTendency,"Arkansas, USA",@PaweSasko You should totally do #GameDevPaidMe
67,mikekasprzak,"London, Ontario, Canada","#GameDevPaidMe hashtag reminds me how poorly I did at startups the past 20 years, despite titles like ""Senior"" and ""Technical Director"". I'm glad I spent most of it working for myself. I don't think I ever earned more than US $50k/yr. Made that in 3 months at a cable company. 🤦‍♂️"
68,RoAnnaSylver,"Portland, OR","Oh cool, #GameDevPaidMe is a thing too, this should be interesting.

I've written 1 pro game for $5k, which worked more like a book advance (DAWNFALL, interactive fiction, SFF/romance).

I'm a white, disabled, nonbinary/genderfluid person!"
69,king_spooner,,Too embarrassed to share. #GameDevPaidMe
70,ManuelGraph_NYC,"Bronx, Ny","Here Im reading your tweets while Im currently self teaching myself game development to make games for free
#GameDevPaidMe"
71,KielenKing,The Cocoa Corner,Damn... #GameDevPaidMe is utterly depressing. If you're a AAA game house. PAY YOUR PEOPLE. MORE.
72,lackofrealism,🏔️ in the mountains 🏔️,"I have very little of value to add to #GameDevPaidMe, since five of the roughly seven years I have thus far in gaming adjacent work were freelance/consulting/etc., but I will say this:

You sure can see how woefully underpaid almost everyone in the industry has been, or is."
73,GrantPDesign,"Burbank, CA","#GameDevPaidMe
I'm a white male game designer. Worked in SF &amp; LA @ AAA companies. 

-SF Design Intern - $18/hr
-SF Contract Designer - $20/hr
-SF Assoc. Designer - $50K
-SF Designer - $65K -&gt; $74K (title change) then $89K (fought for)
-LA Designer - $89K (but much better bonuses)"
74,BeardedASMR,"Tacoma, WA","#GameDevPaidMe shows that, unless I get really lucky or somehow leverage relationships, I can never pivot into the games industry and expect similar pay to what I make now in live events. I’d love to be a full time game sound designer, but it just don’t make sense."
